counterparty_id,canonical_name,category,aliases
CP0022,GATI KWE PRIVATE LIMITED,logistics,GATI KWE PRIVATE LIMITED | GATI KWE
CP0023,VRL LOGISTICS LIMITED,logistics,VRL LOGISTICS LIMITED | VRL LOGISTICS
CP0024,SAFEXPRESS PRIVATE LIMITED,logistics,SAFEXPRESS PRIVATE LIMITED | SAFEXPRESS
CP0025,MICROSOFT REGIONAL SALES PTE,software,MICROSOFT REGIONAL SALES PTE | MICROSOFT REGIONAL
CP0026,GOOGLE CLOUD INDIA PVT LTD,software,GOOGLE CLOUD INDIA PVT LTD | GOOGLE CLOUD INDIA
CP0027,ZOHO CORPORATION PVT LTD,software,ZOHO CORPORATION PVT LTD | ZOHO CORP
CP0028,FRESHWORKS TECHNOLOGIES,software,FRESHWORKS TECHNOLOGIES | FRESHWORKS
CP0029,ATLASSIAN PTY LTD,software,ATLASSIAN PTY LTD | ATLASSIAN
CP0030,RAZORPAY SOFTWARE PVT LTD,software,RAZORPAY SOFTWARE PVT LTD | RAZORPAY
CP0031,EMBASSY OFFICE PARKS REIT,rent,EMBASSY OFFICE PARKS REIT | EMBASSY OFFICE PARKS
CP0032,DLF CYBER CITY DEVELOPERS,rent,DLF CYBER CITY DEVELOPERS | DLF CYBER CITY
CP0033,RMZ CORP PRIVATE LIMITED,rent,RMZ CORP PRIVATE LIMITED | RMZ CORP
CP0034,BRIGADE ENTERPRISES LIMITED,rent,BRIGADE ENTERPRISES LIMITED | BRIGADE ENTERPRISES
CP0035,GOOGLE INDIA PVT LTD ADS,marketing,GOOGLE INDIA PVT LTD ADS | GOOGLE INDIA ADS
CP0036,META PLATFORMS IRELAND LTD,marketing,META PLATFORMS IRELAND LTD | META PLATFORMS
CP0037,DENTSU AEGIS NETWORK INDIA,marketing,DENTSU AEGIS NETWORK INDIA | DENTSU AEGIS
CP0038,OGILVY AND MATHER PVT LTD,marketing,OGILVY AND MATHER PVT LTD | OGILVY MATHER
CP0039,MAKEMYTRIP INDIA PVT LTD,travel,MAKEMYTRIP INDIA PVT LTD | MAKEMYTRIP INDIA
CP0040,INTERGLOBE AVIATION LIMITED,travel,INTERGLOBE AVIATION LIMITED | INTERGLOBE AVIATION | INDIGO AIRLINES
CP0041,YATRA ONLINE LIMITED,travel,YATRA ONLINE LIMITED | YATRA ONLINE
CP0042,OYO HOTELS AND HOMES PVT,travel,OYO HOTELS AND HOMES PVT | OYO HOTELS
CP0043,DELOITTE HASKINS AND SELLS,professional_services,DELOITTE HASKINS AND SELLS | DELOITTE HASKINS
CP0044,KPMG ASSURANCE AND CONSULTING,professional_services,KPMG ASSURANCE AND CONSULTING | KPMG ASSURANCE
CP0045,SHARDUL AMARCHAND MANGALDAS,professional_services,SHARDUL AMARCHAND MANGALDAS | SHARDUL AMARCHAND
CP0046,QUESS CORP LIMITED,professional_services,QUESS CORP LIMITED | QUESS CORP
CP0047,ICICI LOMBARD GENERAL INSURANCE,insurance,ICICI LOMBARD GENERAL INSURANCE | ICICI LOMBARD
CP0048,HDFC LIFE INSURANCE CO LTD,insurance,HDFC LIFE INSURANCE CO LTD | HDFC LIFE
CP0049,GST PAYMENT CBDT,tax,GST PAYMENT CBDT | GST PAYMENT
CP0050,INCOME TAX DEPARTMENT TDS,tax,INCOME TAX DEPARTMENT TDS | INCOMETAX TDS
CP0051,CROMA INFINITI RETAIL LTD,inventory,CROMA INFINITI RETAIL LTD | CROMA INFINITI
CP0052,VIJAY SALES INDIA PVT LTD,inventory,VIJAY SALES INDIA PVT LTD | VIJAY SALES
CP0053,SANGEETHA MOBILES PVT LTD,inventory,SANGEETHA MOBILES PVT LTD | SANGEETHA MOBILES
CP0054,POORVIKA MOBILES PVT LTD,inventory,POORVIKA MOBILES PVT LTD | POORVIKA MOBILES
CP0055,BAJAJ ELECTRICALS LIMITED,inventory,BAJAJ ELECTRICALS LIMITED | BAJAJ ELECTRICALS
CP0056,HAVELLS INDIA LIMITED,inventory,HAVELLS INDIA LIMITED | HAVELLS INDIA
CP0057,VOLTAS LIMITED,inventory,VOLTAS LIMITED | VOLTAS LTD
CP0058,BLUE STAR LIMITED,inventory,BLUE STAR LIMITED | BLUE STAR LTD
PP0001,SANJAY BOSE,salary,Sanjay Bose | SANJAY BOSE | sanjay bose
PP0002,ANANYA RAO,salary,Ananya Rao | ANANYA RAO | ananya rao
PP0003,PRAKASH PATEL,salary,Prakash Patel | PRAKASH PATEL | prakash patel
PP0004,SUNITA KAPOOR,salary,Sunita Kapoor | SUNITA KAPOOR | sunita kapoor
PP0005,MANOJ DESAI,salary,Manoj Desai | MANOJ DESAI | manoj desai
PP0006,GAUTAM BHATT,salary,Gautam Bhatt | GAUTAM BHATT | gautam bhatt
PP0007,NEHA BHATT,salary,Neha Bhatt | NEHA BHATT | neha bhatt
PP0008,NITIN BHATT,salary,Nitin Bhatt | NITIN BHATT | nitin bhatt
PP0009,NAVEEN JOSHI,salary,Naveen Joshi | NAVEEN JOSHI | naveen joshi
PP0010,SNEHA NAIR,salary,Sneha Nair | SNEHA NAIR | sneha nair
PP0011,RAKESH SINGH,salary,Rakesh singh | RAKESH SINGH | rakesh singh
PP0012,PRAKASH KULKARNI,salary,Prakash Kulkarni | PRAKASH KULKARNI | prakash kulkarni
PP0013,KARTHIK SHETTY,salary,Karthik Shetty | KARTHIK SHETTY | karthik shetty
PP0014,ANANYA KULKARNI,salary,Ananya Kulkarni | ANANYA KULKARNI | ananya kulkarni
PP0015,SWATI AGARWAL,salary,Swati Agarwal | SWATI AGARWAL | swati agarwal
PP0016,MEERA PATEL,salary,Meera Patel | MEERA PATEL | meera patel
PP0017,ROHIT PILLAI,salary,Rohit Pillai | ROHIT PILLAI | rohit pillai
PP0018,VIKRAM CHAUHAN,salary,Vikram Chauhan | VIKRAM CHAUHAN | vikram chauhan
PP0019,SANJAY MALHOTRA,salary,Sanjay Malhotra | SANJAY MALHOTRA | sanjay malhotra
PP0020,MANOJ KULKARNI,salary,Manoj Kulkarni | MANOJ KULKARNI | manoj kulkarni
PP0021,RAKESH PILLAI,salary,Rakesh Pillai | RAKESH PILLAI | rakesh pillai
PP0022,ANJALI SHETTY,salary,Anjali Shetty | ANJALI SHETTY | anjali shetty
PP0023,NEHA BHATT,salary,Neha Bhatt | NEHA BHATT | neha bhatt
PP0024,NAVEEN MEHTA,salary,Naveen Mehta | NAVEEN MEHTA | naveen mehta
PP0025,ASHOK AGARWAL,salary,Ashok Agarwal | ASHOK AGARWAL | ashok agarwal
PP0026,PARESH AGARWAL,salary,Paresh Agarwal | PARESH AGARWAL | paresh agarwal
PP0027,RITU VERMA,salary,Ritu Verma | RITU VERMA | ritu verma
PP0028,RAKESH KAPOOR,salary,Rakesh Kapoor | RAKESH KAPOOR | rakesh kapoor
PP0029,ANANYA SHETTY,salary,Ananya Shetty | ANANYA SHETTY | ananya shetty
PP0030,SWATI NAIR,salary,Swati Nair | SWATI NAIR | swati nair
PP0031,MEERA MEHTA,salary,Meera Mehta | MEERA MEHTA | meera mehta
PP0032,RITU AGARWAL,salary,Ritu Agarwal | RITU AGARWAL | ritu agarwal
PP0033,RITU CHAUHAN,salary,Ritu Chauhan | RITU CHAUHAN | ritu chauhan
PP0034,ANJALI BOSE,salary,Anjali Bose | ANJALI BOSE | anjali bose
PP0035,VIVEK CHAUHAN,salary,Vivek Chauhan | VIVEK CHAUHAN | vivek chauhan
PP0036,ANANYA NAIR,salary,Ananya Nair | ANANYA NAIR | ananya nair
PP0037,ANANYA CHAUHAN,salary,Ananya Chauhan | ANANYA CHAUHAN | ananya chauhan
PP0038,SHWETA RAO,salary,Shweta Rao | SHWETA RAO | shweta rao
PP0039,AYESHA KHAN,salary,Ayesha Khan | AYESHA KHAN | ayesha khan
PP0040,POOJA REDDY,salary,Pooja Reddy | POOJA REDDY | pooja reddy
PP0041,DEEPA SINGH,salary,Deepa singh | DEEPA SINGH | deepa singh
PP0042,PRIYA RAO,salary,Priya Rao | PRIYA RAO | priya rao
PP0043,ARJUN SHETTY,salary,Arjun Shetty | ARJUN SHETTY | arjun shetty
PP0044,NEHA SAXENA,salary,Neha Saxena | NEHA SAXENA | neha saxena
PP0045,PRIYA NAIR,salary,Priya Nair | PRIYA NAIR | priya nair
PP0046,GAUTAM MENON,salary,Gautam Menon | GAUTAM MENON | gautam menon
PP0047,KARTHIK PILLAI,salary,Karthik Pillai | KARTHIK PILLAI | karthik pillai
PP0048,PRAKASH SAXENA,salary,Prakash Saxena | PRAKASH SAXENA | prakash saxena
PP0049,PRAKASH AGARWAL,salary,Prakash Agarwal | PRAKASH AGARWAL | prakash agarwal
PP0050,ARJUN SHARMA,salary,Arjun Sharma | ARJUN SHARMA | arjun sharma
PP0051,SNEHA RAO,salary,Sneha Rao | SNEHA RAO | sneha rao
PP0052,ARJUN KULKARNI,salary,Arjun Kulkarni | ARJUN KULKARNI | arjun kulkarni
PP0053,ROHIT PILLAI,salary,Rohit Pillai | ROHIT PILLAI | rohit pillai
PP0054,SUNITA DUBEY,salary,Sunita Dubey | SUNITA DUBEY | sunita dubey
PP0055,ROHIT SAXENA,salary,Rohit Saxena | ROHIT SAXENA | rohit saxena
PP0056,LAKSHMI IYER,salary,Lakshmi Iyer | LAKSHMI IYER | lakshmi iyer
PP0057,TARUN AGARWAL,salary,Tarun Agarwal | TARUN AGARWAL | tarun agarwal
PP0058,ANJALI BOSE,salary,Anjali Bose | ANJALI BOSE | anjali bose
PP0059,NAVEEN BOSE,salary,Naveen Bose | NAVEEN BOSE | naveen bose
PP0060,DIVYA CHAUHAN,salary,Divya Chauhan | DIVYA CHAUHAN | divya chauhan
PP0061,PRAKASH PILLAI,salary,Prakash Pillai | PRAKASH PILLAI | prakash pillai
PP0062,SNEHA GUPTA,salary,Sneha Gupta | SNEHA GUPTA | sneha gupta
PP0063,DEEPA JOSHI,salary,Deepa Joshi | DEEPA JOSHI | deepa joshi
PP0064,AYESHA SHETTY,salary,Ayesha Shetty | AYESHA SHETTY | ayesha shetty
PP0065,SUNITA SAXENA,salary,Sunita Saxena | SUNITA SAXENA | sunita saxena
PP0066,VIVEK BOSE,salary,Vivek Bose | VIVEK BOSE | vivek bose
PP0067,NAVEEN SINGH,salary,Naveen singh | NAVEEN SINGH | naveen singh
PP0068,RAHUL REDDY,salary,Rahul Reddy | RAHUL REDDY | rahul reddy
PP0069,KARTHIK SHETTY,salary,Karthik Shetty | KARTHIK SHETTY | karthik shetty
PP0070,NAVEEN CHAUHAN,salary,Naveen Chauhan | NAVEEN CHAUHAN | naveen chauhan
PP0071,SURESH GHASE,salary,Suresh Ghase | SURESH GHASE | suresh ghase
PP0072,ARJUN DESAI,salary,Arjun Desai | ARJUN DESAI | arjun desai
PP0073,PARESH CHAUHAN,salary,Paresh Chauhan | PARESH CHAUHAN | paresh chauhan
PP0074,DEEPA AGARWAL,salary,Deepa Agarwal | DEEPA AGARWAL | deepa agarwal
PP0075,SURESH SAXENA,salary,Suresh Saxena | SURESH SAXENA | suresh saxena
PP0076,SANJAY VERMA,salary,Sanjay Verma | SANJAY VERMA | sanjay verma
PP0077,GAUTAM DESAI,salary,Gautam Desai | GAUTAM DESAI | gautam desai
PP0078,SWATI DESAI,salary,Swati Desai | SWATI DESAI | swati desai
PP0079,MEERA PILLAI,salary,Meera Pillai | MEERA PILLAI | meera pillai
PP0080,RAHUL SHARMA,salary,Rahul Sharma | RAHUL SHARMA | rahul sharma
PP0081,KAVITA CHAUHAN,salary,Kavita Chauhan | KAVITA CHAUHAN | kavita chauhan
PP0082,NEHA GUPTA,salary,Neha Gupta | NEHA GUPTA | neha gupta
PP0083,RITU PATEL,salary,Ritu Patel | RITU PATEL | ritu patel
PP0084,ARJUN RAO,salary,Arjun Rao | ARJUN RAO | arjun rao
PP0085,SHWETA SHETTY,salary,Shweta Shetty | SHWETA SHETTY | shweta shetty
PP0086,SURESH REDDY,salary,Suresh Reddy | SURESH REDDY | suresh reddy
PP0087,DEEPA RAO,salary,Deepa Rao | DEEPA RAO | deepa rao
PP0088,SWATI MALHOTRA,salary,Swati Malhotra | SWATI MALHOTRA | swati malhotra
PP0089,RAKESH PILLAI,salary,Rakesh Pillai | RAKESH PILLAI | rakesh pillai
PP0090,HARISH AGARWAL,salary,Harish Agarwal | HARISH AGARWAL | harish agarwal
PP0091,RAHUL NAIR,salary,Rahul Nair | RAHUL NAIR | rahul nair
PP0092,NEHA DESAI,salary,Neha Desai | NEHA DESAI | neha desai
PP0093,DEEPA CHAUHAN,salary,Deepa Chauhan | DEEPA CHAUHAN | deepa chauhan
PP0094,FARAH BHATT,salary,Farah Bhatt | FARAH BHATT | farah bhatt
PP0095,HARISH DESAI,salary,Harish Desai | HARISH DESAI | harish desai
PP0096,VIKRAM VERMA,salary,Vikram Verma | VIKRAM VERMA | vikram verma
PP0097,NAVEEN BOSE,salary,Naveen Bose | NAVEEN BOSE | naveen bose
PP0098,LAKSHMI PATEL,salary,Lakshmi Patel | LAKSHMI PATEL | lakshmi patel
PP0099,AYESHA MENON,salary,Ayesha Menon | AYESHA MENON | ayesha menon
PP0100,POOJA KHAN,salary,Pooja Khan | POOJA KHAN | pooja khan
PP0101,DIVYA MEHTA,salary,Divya Mehta | DIVYA MEHTA | divya mehta
PP0102,PARESH AGARWAL,salary,Paresh Agarwal | PARESH AGARWAL | paresh agarwal
PP0103,ARJUN MALHOTRA,salary,Arjun Malhotra | ARJUN MALHOTRA | arjun malhotra
PP0104,SHWETA PILLAI,salary,Shweta Pillai | SHWETA PILLAI | shweta pillai
PP0105,SWATI AGARWAL,salary,Swati Agarwal | SWATI AGARWAL | swati agarwal
PP0106,SHWETA PILLAI,salary,Shweta Pillai | SHWETA PILLAI | shweta pillai
PP0107,SHWETA MEHTA,salary,Shweta Mehta | SHWETA MEHTA | shweta mehta
PP0108,SHWETA BHATT,salary,Shweta Bhatt | SHWETA BHATT | shweta bhatt
PP0109,SWATI KAPOOR,salary,Swati Kapoor | SWATI KAPOOR | swati kapoor
PP0110,ARJUN SHARMA,salary,Arjun Sharma | ARJUN SHARMA | arjun sharma
PP0111,ANJALI DUBEY,salary,Anjali Dubey | ANJALI DUBEY | anjali dubey
PP0112,PRIYA AGARWAL,salary,Priya Agarwal | PRIYA AGARWAL | priya agarwal
PP0113,SHWETA DUBEY,salary,Shweta Dubey | SHWETA DUBEY | shweta dubey
PP0114,DIVYA IYER,salary,Divya Iyer | DIVYA IYER | divya iyer
PP0115,NAVEEN KULKARNI,salary,Naveen Kulkarni | NAVEEN KULKARNI | naveen kulkarni
PP0116,LAKSHMI PATEL,salary,Lakshmi Patel | LAKSHMI PATEL | lakshmi patel
PP0117,FARAH CHAUHAN,salary,Farah Chauhan | FARAH CHAUHAN | farah chauhan
PP0118,PRIYA VERMA,salary,Priya Verma | PRIYA VERMA | priya verma
PP0119,HARISH SHETTY,salary,Harish Shetty | HARISH SHETTY | harish shetty
PP0120,PARESH DESAI,salary,Paresh Desai | PARESH DESAI | paresh desai
PP0121,DEEPA MALHOTRA,salary,Deepa Malhotra | DEEPA MALHOTRA | deepa malhotra
PP0122,VIVEK MALHOTRA,salary,Vivek Malhotra | VIVEK MALHOTRA | vivek malhotra
PP0123,NITIN DESAI,salary,Nitin Desai | NITIN DESAI | nitin desai
PP0124,RAKESH SHETTY,salary,Rakesh Shetty | RAKESH SHETTY | rakesh shetty
PP0125,MEERA JOSHI,salary,Meera Joshi | MEERA JOSHI | meera joshi
PP0126,PRAKASH MALHOTRA,salary,Prakash Malhotra | PRAKASH MALHOTRA | prakash malhotra
PP0127,SURESH DUBEY,salary,Suresh Dubey | SURESH DUBEY | suresh dubey
PP0128,LAKSHMI SHARMA,salary,Lakshmi Sharma | LAKSHMI SHARMA | lakshmi sharma
PP0129,ANJALI BHATT,salary,Anjali Bhatt | ANJALI BHATT | anjali bhatt
PP0130,PRIYA GHASE,salary,Priya Ghase | PRIYA GHASE | priya ghase
PP0131,PARESH MALHOTRA,salary,Paresh Malhotra | PARESH MALHOTRA | paresh malhotra
PP0132,MEERA GUPTA,salary,Meera Gupta | MEERA GUPTA | meera gupta
PP0133,VIVEK PATEL,salary,Vivek Patel | VIVEK PATEL | vivek patel
PP0134,HARISH JOSHI,salary,Harish Joshi | HARISH JOSHI | harish joshi
PP0135,RAHUL SHETTY,salary,Rahul Shetty | RAHUL SHETTY | rahul shetty
PP0136,SHWETA DUBEY,salary,Shweta Dubey | SHWETA DUBEY | shweta dubey
PP0137,SNEHA KHAN,salary,Sneha Khan | SNEHA KHAN | sneha khan
PP0138,VIKRAM SAXENA,salary,Vikram Saxena | VIKRAM SAXENA | vikram saxena
PP0139,NEHA BHATT,salary,Neha Bhatt | NEHA BHATT | neha bhatt
PP0140,TARUN REDDY,salary,Tarun Reddy | TARUN REDDY | tarun reddy
